,NB,C45,SVML,SVMQ,Logistic,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
MedicalImages,0.460697368,0.622671053,0.608828947,0.682078947,0.478078947,0.431092105,0.719171053,0.755947368,0.665697368,0.700802632,0.741157895,0.748052632,0.664078947,0.668026316,0.695855263,0.686986842,0.756947368,0.724552632,0.676131579,0.751144737,0.737513158,0.755631579,0.701092105,0.691065789,0.703644737,0.60897373,0.509526316,0.477842105,0.714578947,0.757434211,0.700657895,0.709881579,0.671078947,0.655144737,0.760513158,0.742947368,0.785039474,0.815421053
MiddlePhalanxOutlineCorrect,0.654295533,0.731237113,0.70556701,0.824226804,0.709106529,0.741237113,0.797835052,0.819621993,0.81766323,0.77580756,0.713539519,0.775292096,0.72395189,0.780996564,0.773058419,0.753917526,0.751408935,0.765154639,0.77467354,0.753402062,0.7295189,0.776735395,0.797525773,0.815051546,0.822199313,0.71608245,0.715017182,0.707182131,0.808213058,0.79395189,0.800446735,0.77024055,0.717560137,0.79209622,0.781786942,0.776701031,0.801443299,0.808865979
MiddlePhalanxOutlineAgeGroup,0.683701299,0.559155844,0.716493506,0.568961039,0.510844156,0.695779221,0.68987013,0.668571429,0.574415584,0.583376623,0.568961039,0.57038961,0.575194805,0.590584415,0.578571428,0.705324675,0.56038961,0.569415584,0.588961039,0.566168831,0.576493506,0.580064935,0.580909091,0.693896104,0.679220779,0.61344171,0.572337662,0.620324675,0.665974026,0.676493506,0.672532468,0.596688312,0.715519481,0.69987013,0.608831169,0.571883117,0.722337662,0.704935065
MiddlePhalanxTW,0.558051948,0.485779221,0.588766234,0.523896104,0.444805195,0.551363636,0.572857143,0.567922078,0.515844156,0.492532468,0.50474026,0.495779221,0.50525974,0.506818182,0.485714286,0.565454545,0.499415584,0.49487013,0.522857143,0.509480519,0.510584416,0.504545455,0.519415584,0.579285714,0.54025974,0.51863643,0.491363636,0.539285714,0.537402597,0.577012987,0.568246753,0.503246753,0.576298701,0.581818182,0.525064935,0.499350649,0.586883117,0.571168831
MoteStrain,0.849736422,0.770359425,0.844536741,0.854976038,0.838785942,0.845646965,0.865399361,0.858578275,0.850015974,0.865982428,0.832060703,0.861653355,0.704249201,0.756277955,0.858610224,0.87821885,0.879560703,0.799345048,0.748714058,0.847675719,0.821118211,0.796789137,0.890766773,0.882340256,0.876054313,0.79281148,0.824177316,0.812531949,0.845998403,0.874408946,0.8864377,0.916549521,0.741253994,0.702507987,0.875071885,0.787180511,0.901621406,0.946813099
NonInvasiveFatalECGThorax1,0.807104326,0.703745547,0.918356234,0.925679389,0.747243427,0.80351145,0.877562341,0.899231552,0.925089059,0.821954198,0.788569975,0.819811705,0.698010178,0.709094148,0.829099237,0.816402036,0.817776081,0.817552163,0.718778626,0.816941476,0.813714692,0.837262087,0.876651935,0.946768448,0.599745547,0.71037665,0.68070229,0.540437659,0.840905852,0.880458015,0.842352276,0.806931298,0.715628499,0.869206107,0.848666667,0.797155216,0.92924173,0.931704835
NonInvasiveFatalECGThorax2,0.829430025,0.790956743,0.931887973,0.939201018,,0.826885496,0.910389504,0.928132316,0.939704835,0.888788804,0.860569975,0.884300254,0.825776081,0.846463104,0.89507888,0.881882952,0.893562341,0.888661578,0.852788804,0.887547074,0.880274809,0.881842239,0.89793045,0.953852417,0.738554707,0.75814759,0.745246819,0.610763359,0.903587786,0.914422392,0.862086514,0.825857506,0.743114504,0.887053435,0.913882952,0.86583715,0.946127946,0.952260519
OliveOil,0.863666667,0.763666667,0.89,0.893,0.883666667,0.895,0.906,0.888666667,0.897,0.877333333,0.860666667,0.876333333,0.783,0.783666667,0.877333333,0.4,0.872333333,0.864666667,0.782,0.868,0.85,0.869666667,0.863666667,0.880666667,0.171666667,0.76466666,0.846666667,0.846333333,0.87,0.883,0.864333333,0.891666667,0.758333333,0.820666667,0.879,0.876333333,0.901333333,0.897666667
OSULeaf,0.37553719,0.379834711,0.450247934,0.545619835,0.37214876,0.329628099,0.539338843,0.586735537,0.46285124,0.573099174,0.617272727,0.633842975,0.86892562,0.864628099,0.639214876,0.778595041,0.787231405,0.789669422,0.868429752,0.643305785,0.884504132,0.878553719,0.809049587,0.934090909,0.771322314,0.67933886,0.700041322,0.859834711,0.967396694,0.63661157,0.678099174,0.763471074,0.748429752,0.803057851,0.811570248,0.659504132,0.949132231,0.970495868
PhalangesOutlinesCorrect,0.651317016,0.740815851,0.648356643,0.7454662,0.695606061,0.741247086,0.818799534,0.832808858,0.818414918,0.768041958,0.751958042,0.765687646,0.751818182,0.78018648,0.766806527,0.746701632,0.759522145,0.763508159,0.779347319,0.763496503,0.7554662,0.770769231,0.792890443,0.794498834,0.783053613,0.72952218,0.716317016,0.683414918,0.820757576,0.804324009,0.825384615,0.78960373,0.721107226,0.75548951,0.780489511,0.765361305,0.782820513,0.821200466
