,accuracy,time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
86,0.924198250728863,0.04288601875305176,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
87,0.5830903790087464,0.01595592498779297,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
88,0.9387755102040817,0.02393651008605957,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
89,0.44314868804664725,0.013962030410766602,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
90,0.9329446064139941,0.020049571990966797,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
91,0.446064139941691,0.014967679977416992,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
92,0.9766763848396501,0.14561223983764648,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
93,0.43731778425655976,0.05196976661682129,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
94,0.9650145772594753,0.1090095043182373,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
95,0.5072886297376094,0.04499626159667969,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
96,0.9446064139941691,0.017955541610717773,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
97,0.39941690962099125,0.008975982666015625,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
98,0.9708454810495627,0.01296377182006836,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
99,0.5597667638483965,0.00897669792175293,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
100,0.9446064139941691,0.05588340759277344,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
101,0.4227405247813411,0.020969867706298828,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
102,0.9387755102040817,0.04106855392456055,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
103,0.685131195335277,0.01496124267578125,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
104,0.8979591836734694,0.022937536239624023,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
105,0.4489795918367347,0.012964248657226562,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
106,0.8950437317784257,0.020943403244018555,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
107,0.4489795918367347,0.014959096908569336,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
108,0.9708454810495627,0.11868095397949219,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
109,0.44314868804664725,0.050864219665527344,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
110,0.967930029154519,0.11269903182983398,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
111,0.3877551020408163,0.06283187866210938,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
112,0.9329446064139941,0.0139617919921875,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
113,0.4314868804664723,0.009972810745239258,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
114,0.9329446064139941,0.01495981216430664,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
115,0.44314868804664725,0.00997304916381836,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
116,0.9154518950437318,0.050864219665527344,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
117,0.4518950437317784,0.025928258895874023,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
118,0.9650145772594753,0.05486416816711426,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
119,0.6618075801749271,0.01595902442932129,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
120,0.9795918367346939,0.021941423416137695,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
121,0.4227405247813411,0.015956401824951172,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
122,0.8571428571428571,0.0219419002532959,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
123,0.4402332361516035,0.012967348098754883,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
124,0.9737609329446064,0.12267041206359863,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
125,0.40524781341107874,0.09275126457214355,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
126,0.9766763848396501,0.11384224891662598,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
127,0.5131195335276968,0.046875715255737305,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
128,0.8862973760932945,0.013962745666503906,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
129,0.6239067055393586,0.009961128234863281,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
130,0.7084548104956269,0.012968301773071289,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
131,0.40816326530612246,0.00896453857421875,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
